"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"R101","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R102","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R103","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R104","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R105","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R106","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R107","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R108","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R201","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R202","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R203","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R204","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R205","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R206","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R207","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R208","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R209","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R210","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R211","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R212","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R213","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R214","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R215","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R216","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R217","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R218","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R219","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R220","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R301","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R302","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R303","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R304","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R305","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R306","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R307","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R308","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R309","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R310","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R311","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R312","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R313","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R314","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R315","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R316","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R317","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R318","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R319","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R320","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R401","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R402","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R403","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R404","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R405","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R406","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R407","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R408","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R409","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R410","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R411","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R412","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R413","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R414","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R415","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R416","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R417","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R418","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R419","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R420","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R501","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R502","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R503","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R504","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R505","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R506","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R507","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R508","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R509","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R510","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R511","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R512","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R513","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R514","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R515","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R516","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R517","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R518","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R519","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R520","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R601","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R602","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R603","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R604","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R605","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R606","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R607","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R608","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R609","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R610","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R611","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R612","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R613","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R614","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R615","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R616","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R617","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R618","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R619","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R620","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R701","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R702","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R703","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R704","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R705","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R706","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R707","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R708","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R709","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R710","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R711","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R712","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R713","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R714","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R715","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R716","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R717","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R718","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R719","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R720","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R801","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R802","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R803","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R804","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R805","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R806","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R807","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R808","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R809","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R810","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R811","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R812","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R813","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R814","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R815","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R816","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R817","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R818","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R819","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R820","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R901","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R902","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R903","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R904","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R905","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R906","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R907","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R908","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R909","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R910","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R911","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R912","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R913","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R914","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R915","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R916","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R917","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R918","1","4700","","","","Resistor_SMD:R_0805_2012Metric","~"
"R919","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
"R920","1","10000","","","","Resistor_SMD:R_0805_2012Metric","~"
